commodity_id,commodity_name,model_name,forecast_horizon,mae,rmse,mape_pct,wape_pct,r2_score,split
medical,Medical,Gradient Boosted Trees,24h,74.9,82.25,1875.92,311.55,-1.5003,Test (15% Chronological Holdout)
medicines,Medicines,Naive Persistence,1h,105.29,237.51,142.28,65.42,0.5313,Test (15% Chronological Holdout)
medicines,Medicines,Moving Average (24h),1h,147.77,340.87,347.5,91.81,0.0347,Test (15% Chronological Holdout)
medicines,Medicines,Ridge Regularized,1h,263.93,544.02,754.25,163.99,-1.4588,Test (15% Chronological Holdout)
medicines,Medicines,Gradient Boosted Trees,1h,325.81,372.82,1407.33,202.44,-0.1548,Test (15% Chronological Holdout)
medicines,Medicines,Naive Persistence,24h,153.92,454.44,127.09,96.13,-0.7143,Test (15% Chronological Holdout)
medicines,Medicines,Moving Average (24h),24h,179.06,407.72,448.6,111.83,-0.3799,Test (15% Chronological Holdout)
medicines,Medicines,Ridge Regularized,24h,303.62,647.96,605.04,189.63,-2.4852,Test (15% Chronological Holdout)
medicines,Medicines,Gradient Boosted Trees,24h,492.87,543.64,1792.05,307.82,-1.4534,Test (15% Chronological Holdout)
sanitation,Sanitation,Naive Persistence,1h,38.7,84.82,56.59,42.14,0.706,Test (15% Chronological Holdout)
sanitation,Sanitation,Moving Average (24h),1h,65.41,149.46,116.68,71.22,0.0871,Test (15% Chronological Holdout)
sanitation,Sanitation,Ridge Regularized,1h,48.07,138.44,56.74,52.35,0.2167,Test (15% Chronological Holdout)
sanitation,Sanitation,Gradient Boosted Trees,1h,91.2,114.93,269.51,99.31,0.4602,Test (15% Chronological Holdout)
sanitation,Sanitation,Naive Persistence,24h,86.74,214.65,113.36,94.77,-0.8809,Test (15% Chronological Holdout)
sanitation,Sanitation,Moving Average (24h),24h,90.09,195.14,165.31,98.44,-0.5546,Test (15% Chronological Holdout)
sanitation,Sanitation,Ridge Regularized,24h,80.67,186.63,144.37,88.14,-0.4219,Test (15% Chronological Holdout)
sanitation,Sanitation,Gradient Boosted Trees,24h,150.09,185.84,391.56,163.98,-0.4099,Test (15% Chronological Holdout)
water,Water,Naive Persistence,1h,8258.17,12483.04,48.15,41.36,0.3782,Test (15% Chronological Holdout)
water,Water,Moving Average (24h),1h,10465.33,15702.5,80.15,52.42,0.016,Test (15% Chronological Holdout)
water,Water,Ridge Regularized,1h,7717.76,13255.09,41.23,38.66,0.2989,Test (15% Chronological Holdout)
water,Water,Gradient Boosted Trees,1h,10810.65,13522.52,107.4,54.15,0.2703,Test (15% Chronological Holdout)
water,Water,Naive Persistence,24h,9788.15,19024.3,49.49,49.31,-0.4354,Test (15% Chronological Holdout)
water,Water,Moving Average (24h),24h,12246.17,19068.83,93.14,61.69,-0.4422,Test (15% Chronological Holdout)
water,Water,Ridge Regularized,24h,8834.2,16321.41,52.79,44.5,-0.0565,Test (15% Chronological Holdout)
water,Water,Gradient Boosted Trees,24h,13661.41,16847.8,113.47,68.82,-0.1258,Test (15% Chronological Holdout)
